id;locale;code;content;created_at;created_by;updated_at;updated_by
1;tr;error.oauth2.invalid_request;Geçersiz istek.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
2;en;error.oauth2.invalid_request;Invalid request.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
3;tr;error.oauth2.unauthorized_client;Yetkisiz istemci.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
4;en;error.oauth2.unauthorized_client;Unauthorized client.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
5;tr;error.oauth2.access_denied;Erişim reddedildi.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
6;en;error.oauth2.access_denied;Access denied.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
7;tr;error.oauth2.unsupported_response_type;Desteklenmeyen yanıt türü.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
8;en;error.oauth2.unsupported_response_type;Unsupported response type.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
9;tr;error.oauth2.invalid_scope;Geçersiz kapsam.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
10;en;error.oauth2.invalid_scope;Invalid scope.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
11;tr;error.oauth2.insufficient_scope;Yetersiz kapsam.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
12;en;error.oauth2.insufficient_scope;Insufficient scope.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
13;tr;error.oauth2.invalid_token;Geçersiz token.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
14;en;error.oauth2.invalid_token;Invalid token.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
15;tr;error.oauth2.server_error;Beklenmeyen bir durumla karşılaşıldı. Lütfen daha sonra tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
16;en;error.oauth2.server_error;An internal server error occurred. Please try again later.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
17;tr;error.oauth2.temporarily_unavailable;Geçici olarak kullanılamıyor.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
18;en;error.oauth2.temporarily_unavailable;Temporarily unavailable.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
19;tr;error.oauth2.invalid_client;Geçersiz client.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
20;en;error.oauth2.invalid_client;Invalid client.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
21;tr;error.oauth2.invalid_grant;Geçersiz izin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
22;en;error.oauth2.invalid_grant;Invalid grant.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
23;tr;error.oauth2.unsupported_grant_type;Desteklenmeyen izin türü.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
24;en;error.oauth2.unsupported_grant_type;Unsupported grant type.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
25;tr;error.oauth2.unsupported_token_type;Desteklenmeyen jeton türü.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
26;en;error.oauth2.unsupported_token_type;Unsupported token type.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
27;tr;error.oauth2.invalid_redirect_uri;Geçersiz yönlendirme URI'sı.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
28;en;error.oauth2.invalid_redirect_uri;Invalid redirect URI.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
29;tr;error.oauth2.not_acceptable;İstenilen medya tipi kabul edilemez.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
30;en;error.oauth2.not_acceptable;Requested media type is not acceptable.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
31;tr;error.oauth2.unsupported_media_type;İstenilen medya tipi desteklenmiyor.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
32;en;error.oauth2.unsupported_media_type;Requested media type is not acceptable.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
33;tr;error.oauth2.method_not_allowed;İstenilen HTTP yöntemi desteklenmiyor.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
34;en;error.oauth2.method_not_allowed;Requested HTTP method is not supported.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
35;tr;error.oauth2.message_not_readable;İstek mesajı okunamadı. Lütfen formatı kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
36;en;error.oauth2.message_not_readable;The request message could not be read. Please check the format and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
37;tr;error.oauth2.type_mismatch;İstek parametresi yanlış türde. Lütfen formatı kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
38;en;error.oauth2.type_mismatch;The request parameter is of the wrong type. Please check the format and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
39;tr;error.oauth2.missing_parameter;İstek parametresi '{paramName}' eksik. Lütfen gerekli parametreyi sağlayıp tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
40;en;error.oauth2.missing_parameter;The request parameter '{paramName}' is missing. Please provide the required parameter and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
41;tr;error.oauth2.missing_part;İstek parçası '{partName}' eksik. Lütfen gerekli parçayı sağlayıp tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
42;en;error.oauth2.missing_part;The request part '{partName}' is missing. Please provide the required part and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
43;tr;error.oauth2.request_binding;İstek işleme işleminde bir hata oluştu. Lütfen girdileri kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
44;en;error.oauth2.request_binding;There was an error binding the request. Please check the input and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
45;tr;error.oauth2.multipart;Çok parçalı isteği işlerken bir hata oluştu. Lütfen dosyayı kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
46;en;error.oauth2.multipart;There was an error processing the multipart request. Please check the file and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
47;tr;error.oauth2.validation_failed;Doğrulama hatası oluştu.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
48;en;error.oauth2.validation_failed;Validation error occurred.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
49;tr;error.oauth2.not_found;İstenen kaynak bulunamadı.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
50;en;error.oauth2.not_found;The requested resource could not be found.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
51;tr;error.oauth2.unsupported_operation;İstenen işlem desteklenmiyor. Lütfen dokümantasyonu kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
52;en;error.oauth2.unsupported_operation;The requested operation is not supported. Please check the documentation and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
53;tr;error.oauth2.gateway_timeout;Servis isteği zaman aşımına uğradı. Lütfen daha sonra tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
54;en;error.oauth2.gateway_timeout;The service request timed out. Please try again later.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
55;tr;error.oauth2.rate_limit_exceeded;Erişim sıklığı limiti aşımı.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
56;en;error.oauth2.rate_limit_exceeded;Too many requests.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
57;tr;error.oauth2.unsupported_api_version;Desteklenmeyen API sürümü.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
58;en;error.oauth2.unsupported_api_version;Unsupported API version.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
59;tr;error.oauth2.resource_not_found;{resource} {criteria} ile bulunamadı: {value};2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
60;en;error.oauth2.resource_not_found;The {resource} could not be found with {criteria}: {value};2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
61;tr;error.oauth2.resource_conflict;{resource} {criteria} zaten mevcut: {value};2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
62;en;error.oauth2.resource_conflict;The {resource} already exists with {criteria}: {value};2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
63;tr;validation.field.notNull;Alan boş olamaz.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
64;en;validation.field.notNull;Field cannot be null.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
65;tr;validation.field.notBlank;Alan boş olamaz.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
66;en;validation.field.notBlank;Field must not be blank.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
67;tr;validation.field.size;Alan {min} ile {max} karakter arasında olmalıdır.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
68;en;validation.field.size;Field must be between {min} and {max} characters.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
69;tr;validation.field.pattern;Alan formatı geçersiz.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
70;en;validation.field.pattern;Field format is invalid.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
71;tr;validation.field.min;Alan en az {value} olmalıdır.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
72;en;validation.field.min;Field must be at least {value}.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
73;tr;validation.field.max;Alan en fazla {value} olmalıdır.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
74;en;validation.field.max;Field must be at most {value}.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
75;tr;validation.field.email;Geçerli bir e-posta adresi olmalıdır.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
76;en;validation.field.email;Email should be valid.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
